scope	row_status	kind	source_path	target_path	result	note
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/153_ERP_SYSTEM_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/153_ERP_SYSTEM_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/154_ERP_EVIDENCE_CAPTURE_ROOT_NAVIGATION_RULE.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/154_ERP_EVIDENCE_CAPTURE_ROOT_NAVIGATION_RULE.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/155_ERP_RUNTIME_EVIDENCE_ACTUAL_RESULTS.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/155_ERP_RUNTIME_EVIDENCE_ACTUAL_RESULTS.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/156_ERP_HEADER_EVIDENCE_ACTUAL_RESULTS.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/156_ERP_HEADER_EVIDENCE_ACTUAL_RESULTS.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/157_ERP_RUNTIME_AND_HEADER_EVIDENCE_INTERPRETATION.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/157_ERP_RUNTIME_AND_HEADER_EVIDENCE_INTERPRETATION.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/158_ERP_PROVISIONAL_AUTHORITY_DECISIONS_HARDENED.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/158_ERP_PROVISIONAL_AUTHORITY_DECISIONS_HARDENED.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/159_ERP_EVIDENCE_CAPTURE_FIRST_PASS_SUMMARY.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/159_ERP_EVIDENCE_CAPTURE_FIRST_PASS_SUMMARY.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/160_ERP_PUBLIC_HEADER_STRUCTURE_EVIDENCE_RESULTS.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/160_ERP_PUBLIC_HEADER_STRUCTURE_EVIDENCE_RESULTS.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/161_ERP_PUBLIC_HEADER_MIRROR_JUDGMENT.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/161_ERP_PUBLIC_HEADER_MIRROR_JUDGMENT.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/162_ERP_PUBLIC_HEADER_ACTIVE_WRITE_RISK_REVIEW.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/162_ERP_PUBLIC_HEADER_ACTIVE_WRITE_RISK_REVIEW.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/163_ERP_PUBLIC_HEADER_FINAL_FIRST_PASS_SUMMARY.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/163_ERP_PUBLIC_HEADER_FINAL_FIRST_PASS_SUMMARY.md	file_copied	copied root loose file to triage
